Contest Year,R/O,Country,Artist,Song,Language,Points,Place
1960,12,Italy,Renato Rascel,"""Romantica""",Italian,5,8
1960,13,France,Jacqueline Boyer,"""Tom Pillibi""",French,32,1
1961,1,Spain,Conchita Bautista,"""Estando contigo""",Spanish,8,9
1961,2,Monaco,Colette Deréal,"""Allons, allons les enfants""",French,6,10
1961,3,Austria,Jimmy Makulis,"""Sehnsucht""",German,1,15
1961,4,Finland,Laila Kinnunen,"""Valoa ikkunassa""",Finnish,6,10
1961,5,Yugoslavia,Ljiljana Petrović,"""Neke davne zvezde"" (Неке давне звезде)",Serbo-Croatian,9,8
1961,6,Netherlands,Greetje Kauffeld,"""Wat een dag""",Dutch,6,10
1961,7,Sweden,Lill-Babs,"""April, april""",Swedish,2,14
1961,8,Germany,Lale Andersen,"""Einmal sehen wir uns wieder""","German, French",3,13
1961,9,France,Jean-Paul Mauric,"""Printemps, avril carillonne""",French,13,4
1961,10,Switzerland,Franca di Rienzo,"""Nous aurons demain""",French,16,3
1961,11,Belgium,Bob Benny,"""September, gouden roos""",Dutch,1,15
1961,12,Norway,Nora Brockstedt,"""Sommer i Palma""",Norwegian,10,7
1961,13,Denmark,Dario Campeotto,"""Angelique""",Danish,12,5
1961,14,Luxembourg,Jean-Claude Pascal,"""Nous les amoureux""",French,31,1
1961,15,United Kingdom,The Allisons,"""Are You Sure?""",English,24,2
1961,16,Italy,Betty Curtis,"""Al di là""",Italian,12,5
1962,1,Finland,Marion Rung,"""Tipi-tii""",Finnish,4,7
1962,2,Belgium,Fud Leclerc,"""Ton nom""",French,0,13
1962,3,Spain,Victor Balaguer,"""Llámame""",Spanish,0,13
1962,4,Austria,Eleonore Schwarz,"""Nur in der Wiener Luft""",German,0,13
1962,5,Denmark,Ellen Winther,"""Vuggevise""",Danish,2,10
1962,6,Sweden,Inger Berggren,"""Sol och vår""",Swedish,4,7
1962,7,Germany,Conny Froboess,"""Zwei kleine Italiener""",German,9,6
1962,8,Netherlands,De Spelbrekers,"""Katinka""",Dutch,0,13
1962,9,France,Isabelle Aubret,"""Un premier amour""",French,26,1
1962,10,Norway,Inger Jacobsen,"""Kom sol, kom regn""",Norwegian,2,10
1962,11,Switzerland,Jean Philippe,"""Le retour""",French,2,10
1962,12,Yugoslavia,Lola Novaković,"""Ne pali svetla u sumrak"" (Не пали светла у сумрак)",Serbo-Croatian,10,4
1962,13,United Kingdom,Ronnie Carroll,"""Ring-a-Ding Girl""",English,10,4
1962,14,Luxembourg,Camillo Felgen,"""Petit bonhomme""",French,11,3
1962,15,Italy,Claudio Villa,"""Addio, addio""",Italian,3,9
1962,16,Monaco,François Deguelt,"""Dis rien""",French,13,2
1963,1,United Kingdom,Ronnie Carroll,"""Say Wonderful Things""",English,28,4
1963,2,Netherlands,Annie Palmen,"""Een speeldoos""",Dutch,0,13
1963,3,Germany,Heidi Brühl,"""Marcel""",German,5,9
1963,4,Austria,Carmela Corren,"""Vielleicht geschieht ein Wunder""","German, English",16,7
1963,5,Norway,Anita Thallaug,"""Solhverv""",Norwegian,0,13
1963,6,Italy,Emilio Pericoli,"""Uno per tutte""",Italian,37,3
1963,7,Finland,Laila Halme,"""Muistojeni laulu""",Finnish,0,13
1963,8,Denmark,Grethe and Jørgen Ingmann,"""Dansevise""",Danish,42,1
1963,9,Yugoslavia,Vice Vukov,"""Brodovi"" (Бродови)",Serbo-Croatian,3,11
1963,10,Switzerland,Esther Ofarim,"""T'en va pas""",French,40,2
1963,11,France,Alain Barrière,"""Elle était si jolie""",French,25,5
1963,12,Spain,José Guardiola,"""Algo prodigioso""",Spanish,2,12
1963,13,Sweden,Monica Zetterlund,"""En gång i Stockholm""",Swedish,0,13
1963,14,Belgium,Jacques Raymond,"""Waarom?""",Dutch,4,10
1963,15,Monaco,Françoise Hardy,"""L'amour s'en va""",French,25,5
1963,16,Luxembourg,Nana Mouskouri,"""À force de prier""",French,13,8
1964,1,Luxembourg,Hugues Aufray,"""Dès que le printemps revient""",French,14,4
1964,2,Netherlands,Anneke Grönloh,"""Jij bent mijn leven""",Dutch,2,10
1964,3,Norway,Arne Bendiksen,"""Spiral""",Norwegian,6,8
1964,4,Denmark,Bjørn Tidmand,"""Sangen om dig""",Danish,4,9
1964,5,Finland,Lasse Mårtenson,"""Laiskotellen""",Finnish,9,7
1964,6,Austria,Udo Jürgens,"""Warum nur, warum?""",German,11,6
1964,7,France,Rachel,"""Le Chant de Mallory""",French,14,4
1964,8,United Kingdom,Matt Monro,"""I Love the Little Things""",English,17,2
1964,9,Germany,Nora Nova,"""Man gewöhnt sich so schnell an das Schöne""",German,0,13
1964,10,Monaco,Romuald,"""Où sont-elles passées""",French,15,3
1964,11,Portugal,António Calvário,"""Oração""",Portuguese,0,13
1964,12,Italy,Gigliola Cinquetti,"""Non ho l'età""",Italian,49,1
1964,13,Yugoslavia,Sabahudin Kurt,"""Život je sklopio krug"" (Живот је склопио круг)",Serbo-Croatian,0,13
1964,14,Switzerland,Anita Traversi,"""I miei pensieri""",Italian,0,13
1964,15,Belgium,Robert Cogoi,"""Près de ma rivière""",French,2,10
1964,16,Spain,"Tim, Nelly and Tony","""Caracola""",Spanish,1,12
1965,1,Netherlands,Conny Vandenbos,"""'t Is genoeg""",Dutch,5,11
1965,2,United Kingdom,Kathy Kirby,"""I Belong""",English,26,2
1965,3,Spain,Conchita Bautista,"""¡Qué bueno, qué bueno!""",Spanish,0,15
1965,4,Ireland,Butch Moore,"""Walking the Streets in the Rain""",English,11,6
1965,5,Germany,Ulla Wiesner,"""Paradies, wo bist du?""",German,0,15
1965,6,Austria,Udo Jürgens,"""Sag ihr, ich lass sie grüßen""",German,16,4
1965,7,Norway,Kirsti Sparboe,"""Karusell""",Norwegian,1,13
1965,8,Belgium,Lize Marke,"""Als het weer lente is""",Dutch,0,15
1965,9,Monaco,Marjorie Noël,"""Va dire à l'amour""",French,7,9
1965,10,Sweden,Ingvar Wixell,"""Absent Friend""",English,6,10
1965,11,France,Guy Mardel,"""N'avoue jamais""",French,22,3
1965,12,Portugal,Simone de Oliveira,"""Sol de inverno""",Portuguese,1,13
1965,13,Italy,Bobby Solo,"""Se piangi, se ridi""",Italian,15,5
1965,14,Denmark,Birgit Brüel,"""For din skyld""",Danish,10,7
1965,15,Luxembourg,France Gall,"""Poupée de cire, poupée de son""",French,32,1
1965,16,Finland,Viktor Klimenko,"""Aurinko laskee länteen""",Finnish,0,15
1965,17,Yugoslavia,Vice Vukov,"""Čežnja"" (Чежња)",Serbo-Croatian,2,12
1965,18,Switzerland,Yovanna,"""Non, à jamais sans toi""",French,8,8
1966,1,Germany,Margot Eskens,"""Die Zeiger der Uhr""",German,7,10
1966,2,Denmark,Ulla Pia,"""Stop – mens legen er go'""",Danish,4,14
1966,3,Belgium,Tonia,"""Un peu de poivre, un peu de sel""",French,14,4
1966,4,Luxembourg,Michèle Torr,"""Ce soir je t'attendais""",French,7,10
1966,5,Yugoslavia,Berta Ambrož,"""Brez besed""",Slovene,9,7
1966,6,Norway,Åse Kleveland,"""Intet er nytt under solen""",Norwegian,15,3
1966,7,Finland,Ann-Christine Nyström,"""Playboy""",Finnish,7,10
1966,8,Portugal,Madalena Iglésias,"""Ele e ela""",Portuguese,6,13
1966,9,Austria,Udo Jürgens,"""Merci, Chérie""",German,31,1
1966,10,Sweden,Lill Lindfors and Svante Thuresson,"""Nygammal vals""",Swedish,16,2
1966,11,Spain,Raphael,"""Yo soy aquél""",Spanish,9,7
1966,12,Switzerland,Madeleine Pascal,"""Ne vois-tu pas ?""",French,12,6
1966,13,Monaco,Téréza,"""Bien plus fort""",French,0,17
1966,14,Italy,Domenico Modugno,"""Dio, come ti amo""",Italian,0,17
1966,15,France,Dominique Walter,"""Chez nous""",French,1,16
1966,16,Netherlands,Milly Scott,"""Fernando en Filippo""",Dutch,2,15
1966,17,Ireland,Dickie Rock,"""Come Back to Stay""",English,14,4
1966,18,United Kingdom,Kenneth McKellar,"""A Man Without Love""",English,8,9
1967,1,Netherlands,Thérèse Steinmetz,"""Ring-dinge-ding""",Dutch,2,14
1967,2,Luxembourg,Vicky,"""L'amour est bleu""",French,17,4
1967,3,Austria,Peter Horten,"""Warum es hunderttausend Sterne gibt""",German,2,14
1967,4,France,Noëlle Cordier,"""Il doit faire beau là-bas""",French,20,3
1967,5,Portugal,Eduardo Nascimento,"""O vento mudou""",Portuguese,3,12
1967,6,Switzerland,Géraldine,"""Quel cœur vas-tu briser ?""",French,0,17
1967,7,Sweden,Östen Warnerbring,"""Som en dröm""",Swedish,7,8
1967,8,Finland,Fredi,"""Varjoon – suojaan""",Finnish,3,12
1967,9,Germany,Inge Brück,"""Anouschka""",German,7,8
1967,10,Belgium,Louis Neefs,"""Ik heb zorgen""",Dutch,8,7
1967,11,United Kingdom,Sandie Shaw,"""Puppet on a String""",English,47,1
1967,12,Spain,Raphael,"""Hablemos del amor""",Spanish,9,6
1967,13,Norway,Kirsti Sparboe,"""Dukkemann""",Norwegian,2,14
1967,14,Monaco,Minouche Barelli,"""Boum-Badaboum""",French,10,5
1967,15,Yugoslavia,Lado Leskovar,"""Vse rože sveta""",Slovene,7,8
1967,16,Italy,Claudio Villa,"""Non andare più lontano""",Italian,4,11
1967,17,Ireland,Sean Dunphy,"""If I Could Choose""",English,22,2
1968,1,Portugal,Carlos Mendes,"""Verão""",Portuguese,5,11
1968,2,Netherlands,Ronnie Tober,"""Morgen""",Dutch,1,16
1968,3,Belgium,Claude Lombard,"""Quand tu reviendras""",French,8,7
1968,4,Austria,Karel Gott,"""Tausend Fenster""",German,2,13
1968,5,Luxembourg,Chris Baldo and Sophie Garel,"""Nous vivrons d'amour""",French,5,11
1968,6,Switzerland,Gianni Mascolo,"""Guardando il sole""",Italian,2,13
1968,7,Monaco,Line and Willy,"""À chacun sa chanson""",French,8,7
1968,8,Sweden,Claes-Göran Hederström,"""Det börjar verka kärlek, banne mig""",Swedish,15,5
1968,9,Finland,Kristina Hautala,"""Kun kello käy""",Finnish,1,16
1968,10,France,Isabelle Aubret,"""La source""",French,20,3
1968,11,Italy,Sergio Endrigo,"""Marianne""",Italian,7,10
1968,12,United Kingdom,Cliff Richard,"""Congratulations""",English,28,2
1968,13,Norway,Odd Børre,"""Stress""",Norwegian,2,13
1968,14,Ireland,Pat McGeegan,"""Chance of a Lifetime""",English,18,4
1968,15,Spain,Massiel,"""La, la, la""",Spanish,29,1
1968,16,Germany,Wencke Myrhe,"""Ein Hoch der Liebe""",German,11,6
1968,17,Yugoslavia,Luci Capurso and Hamo Hajdarhodžić,"""Jedan dan"" (Један дан)",Serbo-Croatian,8,7
1969,1,Yugoslavia,Ivan and 4M,"""Pozdrav svijetu"" (Поздрав свијету)",Serbo-Croatian,5,13
1969,2,Luxembourg,Romuald,"""Catherine""",French,7,11
1969,3,Spain,Salomé,"""Vivo cantando""",Spanish,18,1
1969,4,Monaco,Jean Jacques,"""Maman, maman""",French,11,6
1969,5,Ireland,Muriel Day and the Lindsays,"""The Wages of Love""",English,10,7
1969,6,Italy,Iva Zanicchi,"""Due grosse lacrime bianche""",Italian,5,13
1969,7,United Kingdom,Lulu,"""Boom Bang-a-Bang""",English,18,1
1969,8,Netherlands,Lenny Kuhr,"""De troubadour""",Dutch,18,1
1969,9,Sweden,Tommy Körberg,"""Judy, min vän""",Swedish,8,9
1969,10,Belgium,Louis Neefs,"""Jennifer Jennings""",Dutch,10,7
1969,11,Switzerland,Paola del Medico,"""Bonjour, Bonjour""",German,13,5
1969,12,Norway,Kirsti Sparboe,"""Oj, oj, oj, så glad jeg skal bli""",Norwegian,1,16
1969,13,Germany,Siw Malmkvist,"""Primaballerina""",German,8,9
1969,14,France,Frida Boccara,"""Un jour, un enfant""",French,18,1
1969,15,Portugal,Simone de Oliveira,"""Desfolhada portuguesa""",Portuguese,4,15
1969,16,Finland,Jarkko and Laura,"""Kuin silloin ennen""",Finnish,6,12
1970,1,Netherlands,Patricia and Hearts of Soul,"""Waterman""",Dutch,7,7
1970,2,Switzerland,Henri Dès,"""Retour""",French,8,4
1970,3,Italy,Gianni Morandi,"""Occhi di ragazza""",Italian,5,8
1970,4,Yugoslavia,Eva Sršen,"""Pridi, dala ti bom cvet""",Slovene,4,11
1970,5,Belgium,Jean Vallée,"""Viens l'oublier""",French,5,8
1970,6,France,Guy Bonnet,"""Marie-Blanche""",French,8,4
1970,7,United Kingdom,Mary Hopkin,"""Knock, Knock Who's There?""",English,26,2
1970,8,Luxembourg,David Alexandre Winter,"""Je suis tombé du ciel""",French,0,12
1970,9,Spain,Julio Iglesias,"""Gwendolyne""",Spanish,8,4
1970,10,Monaco,Dominique Dussault,"""Marlène""",French,5,8
1970,11,Germany,Katja Ebstein,"""Wunder gibt es immer wieder""",German,12,3
1970,12,Ireland,Dana,"""All Kinds of Everything""",English,32,1
1971,1,Austria,Marianne Mendt,"""Musik""",Viennese German,66,16
1971,2,Malta,Joe Grech,"""Marija l-Maltija""",Maltese,52,18
1971,3,Monaco,Séverine,"""Un banc, un arbre, une rue""",French,128,1
1971,4,Switzerland,"Peter, Sue and Marc","""Les Illusions de nos vingt ans""",French,78,12
1971,5,Germany,Katja Ebstein,"""Diese Welt""",German,100,3
1971,6,Spain,Karina,"""En un mundo nuevo""",Spanish,116,2
1971,7,France,Serge Lama,"""Un jardin sur la terre""",French,82,10
1971,8,Luxembourg,Monique Melsen,"""Pomme, pomme, pomme""",French,70,13
1971,9,United Kingdom,Clodagh Rodgers,"""Jack in the Box""",English,98,4
1971,10,Belgium,Lily Castel and Jacques Raymond,"""Goeiemorgen, morgen""",Dutch,68,14
1971,11,Italy,Massimo Ranieri,"""L'amore è un attimo""",Italian,91,5
1971,12,Sweden,Family Four,"""Vita vidder""",Swedish,85,6
1971,13,Ireland,Angela Farrell,"""One Day Love""",English,79,11
1971,14,Netherlands,Saskia and Serge,"""Tijd""",Dutch,85,6
1971,15,Portugal,Tonicha,"""Menina do alto da serra""",Portuguese,83,9
1971,16,Yugoslavia,Krunoslav Slabinac,"""Tvoj dječak je tužan"" (Твој дјечак је тужан)",Serbo-Croatian,68,14
1971,17,Finland,Markku Aro and Koivistolaiset,"""Tie uuteen päivään""",Finnish,84,8
1971,18,Norway,Hanne Krogh,"""Lykken er""",Norwegian,65,17
1972,1,Germany,Mary Roos,"""Nur die Liebe läßt uns leben""",German,107,3
1972,2,France,Betty Mars,"""Comé-comédie""",French,81,11
1972,3,Ireland,Sandie Jones,"""Ceol an Ghrá""",Irish,72,15
1972,4,Spain,Jaime Morey,"""Amanece""",Spanish,83,10
1972,5,United Kingdom,The New Seekers,"""Beg, Steal or Borrow""",English,114,2
1972,6,Norway,Grethe Kausland and Benny Borg,"""Småting""",Norwegian,73,14
1972,7,Portugal,Carlos Mendes,"""A festa da vida""",Portuguese,90,7
1972,8,Switzerland,Véronique Müller,"""C'est la chanson de mon amour""",French,88,8
1972,9,Malta,Helen and Joseph,"""L-imħabba""",Maltese,48,18
1972,10,Finland,Päivi Paunu and Kim Floor,"""Muistathan""",Finnish,78,12
1972,11,Austria,Milestones,"""Falter im Wind""",German,100,5
1972,12,Italy,Nicola Di Bari,"""I giorni dell'arcobaleno""",Italian,92,6
1972,13,Yugoslavia,Tereza Kesovija,"""Muzika i ti"" (Музика и ти)",Serbo-Croatian,87,9
1972,14,Sweden,Family Four,"""Härliga sommardag""",Swedish,75,13
1972,15,Monaco,Anne-Marie Godart and Peter MacLane,"""Comme on s'aime""",French,65,16
1972,16,Belgium,Serge and Christine Ghisoland,"""À la folie ou pas du tout""",French,55,17
1972,17,Luxembourg,Vicky Leandros,"""Après toi""",French,128,1
1972,18,Netherlands,Sandra and Andres,"""Als het om de liefde gaat""",Dutch,106,4
1973,1,Finland,Marion Rung,"""Tom Tom Tom""",English,93,6
1973,2,Belgium,Nicole and Hugo,"""Baby, Baby""",Dutch,58,17
1973,3,Portugal,Fernando Tordo,"""Tourada""",Portuguese,80,10
1973,4,Germany,Gitte,"""Junger Tag""",German,85,8
1973,5,Norway,Bendik Singers,"""It's Just a Game""","English, French",89,7
1973,6,Monaco,Marie,"""Un train qui part""",French,85,8
1973,7,Spain,Mocedades,"""Eres tú""",Spanish,125,2
1973,8,Switzerland,Patrick Juvet,"""Je vais me marier, Marie""",French,79,12
1973,9,Yugoslavia,Zdravko Čolić,"""Gori vatra"" (Гори ватра)",Serbo-Croatian,65,15
1973,10,Italy,Massimo Ranieri,"""Chi sarà con te""",Italian,74,13
1973,11,Luxembourg,Anne-Marie David,"""Tu te reconnaîtras""",French,129,1
1973,12,Sweden,The Nova and the Dolls,"""You're Summer""",English,94,5
1973,13,Netherlands,Ben Cramer,"""De oude muzikant""",Dutch,69,14
1973,14,Ireland,Maxi,"""Do I Dream""",English,80,10
1973,15,United Kingdom,Cliff Richard,"""Power to All Our Friends""",English,123,3
1973,16,France,Martine Clémenceau,"""Sans toi""",French,65,15
1973,17,Israel,Ilanit,"""Ey Sham"" (אי שם)",Hebrew,97,4
1974,1,Finland,Carita,"""Keep Me Warm""",English,4,13
1974,2,United Kingdom,Olivia Newton-John,"""Long Live Love""",English,14,4
1974,3,Spain,Peret,"""Canta y sé feliz""",Spanish,10,9
1974,4,Norway,Anne-Karine Strøm and the Bendik Singers,"""The First Day of Love""",English,3,14
1974,5,Greece,Marinella,"""Krasi, thalassa ke t' agori mou""(Κρασί, θάλασσα και τ' αγόρι μου)",Greek,7,11
1974,6,Israel,Poogy,"""Natati La Khayay"" (נתתי לה חיי)",Hebrew,11,7
1974,7,Yugoslavia,Korni Grupa,"""Generacija '42"" (Генерација '42)",Serbo-Croatian,6,12
1974,8,Sweden,ABBA,"""Waterloo""",English,24,1
1974,9,Luxembourg,Ireen Sheer,"""Bye Bye I Love You""",French,14,4
1974,10,Monaco,Romuald,"""Celui qui reste et celui qui s'en va""",French,14,4
1974,11,Belgium,Jacques Hustin,"""Fleur de liberté""",French,10,9
1974,12,Netherlands,Mouth and MacNeal,"""I See a Star""",English,15,3
1974,13,Ireland,Tina Reynolds,"""Cross Your Heart""",English,11,7
1974,14,Germany,Cindy and Bert,"""Die Sommermelodie""",German,3,14
1974,15,Switzerland,Piera Martell,"""Mein Ruf nach dir""",German,3,14
1974,16,Portugal,Paulo de Carvalho,"""E depois do adeus""",Portuguese,3,14
1974,17,Italy,Gigliola Cinquetti,"""Sì""",Italian,18,2
1975,1,Netherlands,Teach-In,"""Ding-a-dong""",English,152,1
1975,2,Ireland,The Swarbriggs,"""That's What Friends Are For""",English,68,9
1975,3,France,Nicole Rieu,"""Et bonjour à toi l'artiste""",French,91,4
1975,4,Germany,Joy Fleming,"""Ein Lied kann eine Brücke sein""","German, English",15,17
1975,5,Luxembourg,Géraldine,"""Toi""",French,84,5
1975,6,Norway,Ellen Nikolaysen,"""Touch My Life (with Summer)""",English,11,18
1975,7,Switzerland,Simone Drexel,"""Mikado""",German,77,6
1975,8,Yugoslavia,Pepel in kri,"""Dan ljubezni""",Slovene,22,13
1975,9,United Kingdom,The Shadows,"""Let Me Be the One""",English,138,2
1975,10,Malta,Renato,"""Singing This Song""",English,32,12
1975,11,Belgium,Ann Christy,"""Gelukkig zijn""","Dutch, English",17,15
1975,12,Israel,Shlomo Artzi,"""At Va'Ani"" (את ואני)",Hebrew,40,11
1975,13,Turkey,Semiha Yankı,"""Seninle Bir Dakika""",Turkish,3,19
1975,14,Monaco,Sophie,"""Une chanson c'est une lettre""",French,22,13
1975,15,Finland,Pihasoittajat,"""Old Man Fiddle""",English,74,7
1975,16,Portugal,Duarte Mendes,"""Madrugada""",Portuguese,16,16
1975,17,Spain,Sergio and Estíbaliz,"""Tú volverás""",Spanish,53,10
1975,18,Sweden,Lasse Berghagen and the Dolls,"""Jennie, Jennie""",English,72,8
1975,19,Italy,Wess and Dori Ghezzi,"""Era""",Italian,115,3
1976,1,United Kingdom,Brotherhood of Man,"""Save Your Kisses for Me""",English,164,1
1976,2,Switzerland,"Peter, Sue and Marc","""Djambo, Djambo""",English,91,4
1976,3,Germany,Les Humphries Singers,"""Sing Sang Song""","German, English",12,15
1976,4,Israel,"Chocolate, Menta, Mastik","""Emor Shalom"" (אמור שלום)",Hebrew,77,6
1976,5,Luxembourg,Jürgen Marcus,"""Chansons pour ceux qui s'aiment""",French,17,14
1976,6,Belgium,Pierre Rapsat,"""Judy et Cie""",French,68,8
1976,7,Ireland,Red Hurley,"""When""",English,54,10
1976,8,Netherlands,Sandra Reemer,"""The Party's Over""",English,56,9
1976,9,Norway,Anne-Karine Strøm,"""Mata Hari""",English,7,18
1976,10,Greece,Mariza Koch,"""Panagia mou, Panagia mou"" (Παναγιά μου, Παναγιά μου)",Greek,20,13
1976,11,Finland,Fredi and the Friends,"""Pump-Pump""",English,44,11
1976,12,Spain,Braulio,"""Sobran las palabras""",Spanish,11,16
1976,13,Italy,Al Bano and Romina Power,"""We'll Live It All Again""","English, Italian",69,7
1976,14,Austria,Waterloo and Robinson,"""My Little World""",English,80,5
1976,15,Portugal,Carlos do Carmo,"""Uma flor de verde pinho""",Portuguese,24,12
1976,16,Monaco,Mary Christy,"""Toi, la musique et moi""",French,93,3
1976,17,France,Catherine Ferry,"""Un, deux, trois""",French,147,2
1976,18,Yugoslavia,Ambasadori,"""Ne mogu skriti svoju bol"" (Не могу скрити своју бол)",Serbo-Croatian,10,17
1977,1,Ireland,The Swarbriggs Plus Two,"""It's Nice to Be in Love Again""",English,119,3
1977,2,Monaco,Michèle Torr,"""Une petite française""",French,96,4
1977,3,Netherlands,Heddy Lester,"""De mallemolen""",Dutch,35,12
1977,4,Austria,Schmetterlinge,"""Boom Boom Boomerang""",German,11,17
1977,5,Norway,Anita Skorgan,"""Casanova""",Norwegian,18,14
1977,6,Germany,Silver Convention,"""Telegram""",English,55,8
1977,7,Luxembourg,Anne-Marie B,"""Frère Jacques""",French,17,16
1977,8,Portugal,Os Amigos,"""Portugal no coração""",Portuguese,18,14
1977,9,United Kingdom,Lynsey de Paul and Mike Moran,"""Rock Bottom""",English,121,2
1977,10,Greece,"Pascalis, Marianna, Robert and Bessy","""Mathima solfege"" (Μάθημα σολφέζ)",Greek,92,5
1977,11,Israel,Ilanit,"""Ahava Hi Shir Lishnayim"" (אהבה היא שיר לשניים)",Hebrew,49,11
1977,12,Switzerland,Pepe Lienhard Band,"""Swiss Lady""",German,71,6
1977,13,Sweden,Forbes,"""Beatles""",Swedish,2,18
1977,14,Spain,Micky,"""Enséñame a cantar""",Spanish,52,9
1977,15,Italy,Mia Martini,"""Libera""",Italian,33,13
1977,16,Finland,Monica Aspelund,"""Lapponia""",Finnish,50,10
1977,17,Belgium,Dream Express,"""A Million in One, Two, Three""",English,69,7
1977,18,France,Marie Myriam,"""L'oiseau et l'enfant""",French,136,1
1978,1,Ireland,Colm C. T. Wilkinson,"""Born to Sing""",English,86,5
1978,2,Norway,Jahn Teigen,"""Mil etter mil""",Norwegian,0,20
1978,3,Italy,Ricchi e Poveri,"""Questo amore""",Italian,53,12
1978,4,Finland,Seija Simola,"""Anna rakkaudelle tilaisuus""",Finnish,2,18=
1978,5,Portugal,Gemini,"""Dai li dou""",Portuguese,5,17
1978,6,France,Joël Prévost,"""Il y aura toujours des violons""",French,119,3
1978,7,Spain,José Vélez,"""Bailemos un vals""",Spanish,65,9=
1978,8,United Kingdom,Co-Co,"""The Bad Old Days""",English,61,11
